Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
5,popular,0.984,0.562,,,,,,0.10006812860223858,0.15481066515328656,0.16972460124176017
5,svd,16.615000000000002,0.881,172,860,860,1.0,0.9696673549598965,0.04587717863447603,0.07667541988834915,0.07952387210073147
5,svd-log,23.212,1.924,172,860,860,1.0,0.9677712769581096,0.09387415754584033,0.1384457012569804,0.15401423653506746
5,lucene,0.985,25.163,172,860,836,0.9720930232558139,0.9592704649542467,0.027371701285731638,0.0352672616181508,0.03514307787136104
1,ii,16.45,58.992000000000004,173,865,865,1.0,0.9750911873193421,0.03854847763654113,0.054776508721170396,0.05982835716174716
5,ii,13.38,55.962,172,860,860,1.0,0.9713582554230986,0.04008165406088283,0.05983233386141772,0.06625198010664536
1,svd,13.384,0.466,173,865,865,1.0,0.9712592530132518,0.05634097788730006,0.09169370347545315,0.10209520636518953
1,svd-log,17.165,1.689,173,865,865,1.0,0.964921179701738,0.11169287745709022,0.1544390806341084,0.19001739639313292
5,lucene-log,39.831,84.546,172,860,860,1.0,0.9681199159229563,0.10487251976584183,0.1534594307713244,0.16886884363966045
1,lucene,0.006,21.085,173,865,834,0.9641618497109826,0.9539342351272425,0.02828084256234172,0.0300129103778468,0.03321863546625785
1,popular,0.009000000000000001,0.275,,,,,,0.11857854328346237,0.1658258916393302,0.1932934964377825
5,lucene-svd-log,53.254,85.215,172,860,860,1.0,0.9730065835376648,0.0966042127285253,0.1531624167512241,0.16819572044453046
4,popular,0.007,0.296,,,,,,0.11493707598046048,0.16315295134872992,0.19412513315907895
4,lucene-log,33.236000000000004,79.742,172,860,860,1.0,0.9665674439649469,0.11860727636744223,0.17497078568069507,0.20249835501576607
4,svd-log,15.134,1.635,172,860,860,1.0,0.967790611847954,0.10552237083004756,0.15261786892348647,0.17179139461120513
4,lucene,0.005,20.822,172,860,839,0.9755813953488373,0.9599515079119575,0.028867658243295298,0.03506189884926908,0.0357469846235236
