Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,popular,2988,0.033,,,,,,0.26986431398919425,0.5,2,0.5
5,popular,4347,0.003,,,,,,0.0,0.0,,0.0
5,popular,5475,0.003,,,,,,0.1450429894495884,0.14646464646464646,9,0.1111111111111111
5,popular,7541,0.004,,,,,,0.14394275854537636,0.25,4,0.25
5,popular,7880,0.003,,,,,,0.05795014046484385,0.125,8,0.125
5,popular,8527,0.004,,,,,,0.2877307852637293,1.0,1,1.0
5,popular,8932,0.003,,,,,,0.47375814320728077,0.8333333333333333,1,1.0
5,popular,10055,0.003,,,,,,0.05745939904494733,0.043478260869565216,23,0.043478260869565216
5,popular,10164,0.002,,,,,,0.22753441020347934,1.0,1,1.0
5,popular,11343,0.003,,,,,,0.061067815215013636,0.041666666666666664,24,0.041666666666666664
5,popular,12778,0.003,,,,,,0.5262947599187683,0.3388888888888889,2,0.5
5,popular,12947,0.003,,,,,,0.0,0.0,,0.0
5,popular,13665,0.003,,,,,,0.0,0.0,,0.0
5,popular,13814,0.008,,,,,,0.0,0.0,,0.0
5,popular,15415,0.003,,,,,,0.1525793514276901,0.25,4,0.25
5,popular,15479,0.003,,,,,,0.13004663138761108,0.11805555555555555,8,0.125
5,popular,16539,0.003,,,,,,0.0,0.0,,0.0
5,popular,16559,0.003,,,,,,0.0,0.0,,0.0
5,popular,18675,0.002,,,,,,0.1403860944330722,0.25,4,0.25
5,popular,19517,0.003,,,,,,0.0,0.0,,0.0
5,popular,19560,0.003,,,,,,0.07916609593147529,0.2,5,0.2
5,popular,20028,0.002,,,,,,0.0,0.0,,0.0
5,popular,21050,0.004,,,,,,0.0,0.0,,0.0
5,popular,21391,0.002,,,,,,0.0,0.0,,0.0
5,popular,23068,0.002,,,,,,0.0,0.0,,0.0
5,popular,23428,0.003,,,,,,0.0,0.0,,0.0
5,popular,23852,0.003,,,,,,0.0,0.0,,0.0
5,popular,24200,0.002,,,,,,0.0,0.0,,0.0
5,popular,24386,0.003,,,,,,0.0636596603867542,0.041666666666666664,24,0.041666666666666664
5,popular,24797,0.003,,,,,,0.0876543938257414,0.06666666666666667,15,0.06666666666666667
5,popular,24884,0.003,,,,,,0.07654169579011266,0.047619047619047616,21,0.047619047619047616
5,popular,26022,0.003,,,,,,0.1103105600817394,0.14285714285714285,7,0.14285714285714285
5,popular,26222,0.003,,,,,,0.0,0.0,,0.0
5,popular,27731,0.003,,,,,,0.0,0.0,,0.0
5,popular,27838,0.003,,,,,,0.0,0.0,,0.0
5,popular,31273,0.002,,,,,,0.10947317528055703,0.16666666666666666,6,0.16666666666666666
5,popular,31392,0.003,,,,,,0.053871226521102294,0.05,20,0.05
5,popular,33860,0.003,,,,,,0.0,0.0,,0.0
5,popular,33871,0.004,,,,,,0.23568372209890154,1.0,1,1.0
5,popular,38159,0.003,,,,,,0.14868067583948483,0.2,5,0.2
5,popular,38875,0.004,,,,,,0.0,0.0,,0.0
5,popular,41244,0.012,,,,,,0.0,0.0,,0.0
5,popular,41518,0.002,,,,,,0.3044431042102248,1.0,1,1.0
5,popular,41557,0.003,,,,,,0.3018803262509651,0.5,2,0.5
5,popular,41703,0.002,,,,,,0.06575008638845223,0.04,25,0.04
5,popular,43599,0.002,,,,,,0.16150794700632248,0.3333333333333333,3,0.3333333333333333
5,popular,43618,0.003,,,,,,0.0,0.0,,0.0
5,popular,43649,0.003,,,,,,0.0,0.0,,0.0
5,popular,44086,0.002,,,,,,0.0,0.0,,0.0
5,popular,45252,0.002,,,,,,0.0,0.0,,0.0
5,popular,45619,0.002,,,,,,0.06652878811488114,0.0625,16,0.0625
5,popular,45669,0.002,,,,,,0.0,0.0,,0.0
5,popular,45854,0.003,,,,,,0.07955698652029787,0.1,10,0.1
5,popular,45928,0.002,,,,,,0.5202124803866077,0.8333333333333333,1,1.0
5,popular,46645,0.002,,,,,,0.0,0.0,,0.0
5,popular,46809,0.002,,,,,,0.15379912899532056,0.07703081232492998,17,0.058823529411764705
5,popular,50019,0.003,,,,,,0.10928466019214306,0.07142857142857142,14,0.07142857142857142
5,popular,51255,0.002,,,,,,0.09060940700588549,0.058823529411764705,17,0.058823529411764705
5,popular,51549,0.002,,,,,,0.0,0.0,,0.0
5,popular,52762,0.002,,,,,,0.0,0.0,,0.0
5,popular,53007,0.002,,,,,,0.0,0.0,,0.0
5,popular,53819,0.003,,,,,,0.0,0.0,,0.0
5,popular,53877,0.002,,,,,,0.08126464236575766,0.07692307692307693,13,0.07692307692307693
5,popular,54643,0.002,,,,,,0.0,0.0,,0.0
5,popular,56246,0.002,,,,,,0.27505616517175957,0.2240740740740741,5,0.2
5,popular,56574,0.003,,,,,,0.1060668753964,0.14285714285714285,7,0.14285714285714285
5,popular,57242,0.003,,,,,,0.5900861360047212,1.0,1,1.0
5,popular,57387,0.002,,,,,,0.0,0.0,,0.0
5,popular,57937,0.002,,,,,,0.0962522609383183,0.09090909090909091,11,0.09090909090909091
5,popular,58166,0.002,,,,,,0.0,0.0,,0.0
